n,st
p2,WA
p1,WA
p3,WA
p4,WA
p5,OR
p6,OR
p7,OR
p9,CA
p8,CA
p10,CA
p11,CA
p12,NV
p13,NV
p14,ID
p15,ID
p16,ID
p25,UT
p26,UT
p27,AZ
p28,AZ
p29,AZ
p30,AZ
p17,MT
p18,MT
p20,MT
p19,MT
p21,WY
p22,WY
p23,WY
p24,WY
p33,CO
p34,CO
p31,NM
p59,TX
p32,SD
p35,MT
p36,ND
p37,ND
p38,SD
p39,NE
p40,NE
p41,NE
p42,MN
p43,MN
p44,MN
p46,WI
p45,IA
p69,IA
p52,KS
p53,KS
p54,MO
p55,MO
p47,NM
p48,TX
p57,TX
p49,OK
p50,OK
p51,OK
p56,AR
p58,LA
p61,TX
p62,TX
p60,TX
p63,TX
p64,TX
p65,TX
p67,TX
p68,MN
p70,IA
p71,MO
p72,MO
p73,MO
p84,MO
p74,MI
p75,WI
p76,WI
p77,WI
p78,WI
p79,WI
p80,IL
p81,IL
p82,IL
p83,IL
p103,MI
p104,MI
p105,IN
p106,IN
p107,IN
p111,OH
p112,OH
p113,OH
p114,OH
p108,KY
p109,KY
p110,KY
p118,VA
p117,WV
p116,WV
p115,PA
p121,MD
p120,PA
p119,PA
p66,TX
p85,AR
p86,LA
p87,MS
p88,MS
p89,AL
p90,AL
p91,FL
p94,GA
p92,TN
p93,KY
p97,NC
p98,NC
p95,SC
p96,SC
p99,VA
p100,VA
p101,FL
p102,FL
p124,VA
p123,MD
p125,DE
p122,PA
p126,NJ
p127,NY
p128,NY
p132,CT
p133,RI
p131,MA
p129,VT
p130,NH
p134,ME
p135,MEX
p136,MEX
p137,BC
p138,BC
p139,BC
p140,AB
p141,AB
p142,SK
p143,MB
p144,ON
p145,ON
p146,ON
p147,ON
p148,QC
p149,QC
p150,QC
p151,QC
p152,NB
p153,NS
p154,NL
p155,NFI
p156,PEI
p157,SIN_SON
p158,SIN_SON
p159,SIN_SON
p160,SIN_SON
p161,SIN_SON
p162,SIN_SON
p163,CHH
p164,CHH
p165,CHH
p166,COA_DGO_NLE
p167,COA_DGO_NLE
p168,COA_DGO_NLE
p169,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p170,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p171,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p172,COA_DGO_NLE
p173,COA_DGO_NLE
p174,SLP
p175,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p176,SLP
p177,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p178,AGU_GUA_JAL_NAY_QUE_ZAC
p179,AGU_GUA_JAL_NAY_QUE_ZAC
p180,AGU_GUA_JAL_NAY_QUE_ZAC
p181,SLP
p182,AGU_GUA_JAL_NAY_QUE_ZAC
p183,COL
p184,GRO_MIC
p185,GRO_MIC
p186,AGU_GUA_JAL_NAY_QUE_ZAC
p187,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p188,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p189,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p190,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p191,GRO_MIC
p192,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p193,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p194,CAM_CHP_TAB
p195,CAM_CHP_TAB
p196,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER
p197,CAM_CHP_TAB
p198,YUC
p199,ROO
p200,ROO
p201,BCN
p202,BCN
p203,BCN
p204,BCN
p205,BCS
