n,st
p1,WASHINGTON
p2,WASHINGTON
p3,WASHINGTON
p4,WASHINGTON
p5,OREGON
p6,OREGON
p7,OREGON
p8,CALIFORNIA
p9,CALIFORNIA
p10,CALIFORNIA
p11,CALIFORNIA
p12,NEVADA
p13,NEVADA
p14,IDAHO
p15,IDAHO
p16,IDAHO
p17,MONTANA
p18,MONTANA
p19,MONTANA
p20,MONTANA
p21,WYOMING
p22,WYOMING
p23,WYOMING
p24,WYOMING
p25,UTAH
p26,UTAH
p27,ARIZONA
p28,ARIZONA
p29,ARIZONA
p30,ARIZONA
p31,NEW MEXICO
p32,SOUTH DAKOTA
p33,COLORADO
p34,COLORADO
p35,MONTANA
p36,NORTH DAKOTA
p37,NORTH DAKOTA
p38,SOUTH DAKOTA
p39,NEBRASKA
p40,NEBRASKA
p41,NEBRASKA
p42,MINNESOTA
p43,MINNESOTA
p44,MINNESOTA
p45,IOWA
p46,WISCONSIN
p47,NEW MEXICO
p48,TEXAS
p49,OKLAHOMA
p50,OKLAHOMA
p51,OKLAHOMA
p52,KANSAS
p53,KANSAS
p54,MISSOURI
p55,MISSOURI
p56,ARKANSAS
p57,TEXAS
p58,LOUISIANA
p59,TEXAS
p60,TEXAS
p61,TEXAS
p62,TEXAS
p63,TEXAS
p64,TEXAS
p65,TEXAS
p66,TEXAS
p67,TEXAS
p68,MINNESOTA
p69,IOWA
p70,IOWA
p71,MISSOURI
p72,MISSOURI
p73,MISSOURI
p74,MICHIGAN
p75,WISCONSIN
p76,WISCONSIN
p77,WISCONSIN
p78,WISCONSIN
p79,WISCONSIN
p80,ILLINOIS
p81,ILLINOIS
p82,ILLINOIS
p83,ILLINOIS
p84,MISSOURI
p85,ARKANSAS
p86,LOUISIANA
p87,MISSISSIPPI
p88,MISSISSIPPI
p89,ALABAMA
p90,ALABAMA
p91,FLORIDA
p92,TENNESSEE
p93,KENTUCKY
p94,GEORGIA
p95,SOUTH CAROLINA
p96,SOUTH CAROLINA
p97,NORTH CAROLINA
p98,NORTH CAROLINA
p99,VIRGINIA
p100,VIRGINIA
p101,FLORIDA
p102,FLORIDA
p103,MICHIGAN
p104,MICHIGAN
p105,INDIANA
p106,INDIANA
p107,INDIANA
p108,KENTUCKY
p109,KENTUCKY
p110,KENTUCKY
p111,OHIO
p112,OHIO
p113,OHIO
p114,OHIO
p115,PENNSYLVANIA
p116,WEST VIRGINIA
p117,WEST VIRGINIA
p118,VIRGINIA
p119,PENNSYLVANIA
p120,PENNSYLVANIA
p121,MARYLAND
p122,PENNSYLVANIA
p123,MARYLAND
p124,VIRGINIA
p125,DELAWARE
p126,NEW JERSEY
p127,NEW YORK
p128,NEW YORK
p129,VERMONT
p130,NEW HAMPSHIRE
p131,MASSACHUSETTS
p132,CONNECTICUT
p133,RHODE ISLAND
p134,MAINE
p135,MEXICO
p136,MEXICO
