output,type,subtype,subsubtype
construction_jobs_direct,construction,jobs,direct
construction_jobs_indirect,construction,jobs,indirect
construction_jobs_induced,construction,jobs,induced
construction_earnings_direct,construction,earnings,direct
construction_earnings_indirect,construction,earnings,indirect
construction_earnings_induced,construction,earnings,induced
construction_output_direct,construction,output,direct
construction_output_indirect,construction,output,indirect
construction_output_induced,construction,output,induced
construction_value_add_direct,construction,value_add,direct
construction_value_add_indirect,construction,value_add,indirect
construction_value_add_induced,construction,value_add,induced
operation_jobs_direct,operation,jobs,direct
operation_jobs_indirect,operation,jobs,indirect
operation_jobs_induced,operation,jobs,induced
operation_earnings_direct,operation,earnings,direct
operation_earnings_indirect,operation,earnings,indirect
operation_earnings_induced,operation,earnings,induced
operation_output_direct,operation,output,direct
operation_output_indirect,operation,output,indirect
operation_output_induced,operation,output,induced
operation_value_add_direct,operation,value_add,direct
operation_value_add_indirect,operation,value_add,indirect
operation_value_add_induced,operation,value_add,induced
