tech,output,cell,scale
wind,construction_jobs_direct,B28,1
wind,construction_jobs_indirect,B29,1
wind,construction_jobs_induced,B30,1
wind,construction_earnings_direct,C28,1
wind,construction_earnings_indirect,C29,1
wind,construction_earnings_induced,C30,1
wind,construction_output_direct,D28,1
wind,construction_output_indirect,D29,1
wind,construction_output_induced,D30,1
wind,construction_value_add_direct,E28,1
wind,construction_value_add_indirect,E29,1
wind,construction_value_add_induced,E30,1
wind,operation_jobs_direct,B34,1
wind,operation_jobs_indirect,B35,1
wind,operation_jobs_induced,B36,1
wind,operation_earnings_direct,C34,1
wind,operation_earnings_indirect,C35,1
wind,operation_earnings_induced,C36,1
wind,operation_output_direct,D34,1
wind,operation_output_indirect,D35,1
wind,operation_output_induced,D36,1
wind,operation_value_add_direct,E34,1
wind,operation_value_add_indirect,E35,1
wind,operation_value_add_induced,E36,1
upv,construction_jobs_direct,B30,1
upv,construction_jobs_indirect,B38,1
upv,construction_jobs_induced,B39,1
upv,construction_earnings_direct,C30,0.001
upv,construction_earnings_indirect,C38,0.001
upv,construction_earnings_induced,C39,0.001
upv,construction_output_direct,D30,0.001
upv,construction_output_indirect,D38,0.001
upv,construction_output_induced,D39,0.001
upv,construction_value_add_direct,E30,0.001
upv,construction_value_add_indirect,E38,0.001
upv,construction_value_add_induced,E39,0.001
upv,operation_jobs_direct,B46,1
upv,operation_jobs_indirect,B47,1
upv,operation_jobs_induced,B48,1
upv,operation_earnings_direct,C46,0.001
upv,operation_earnings_indirect,C47,0.001
upv,operation_earnings_induced,C48,0.001
upv,operation_output_direct,D46,0.001
upv,operation_output_indirect,D47,0.001
upv,operation_output_induced,D48,0.001
upv,operation_value_add_direct,E46,0.001
upv,operation_value_add_indirect,E47,0.001
upv,operation_value_add_induced,E48,0.001
gas,construction_jobs_direct,B27,1
gas,construction_jobs_indirect,B30,1
gas,construction_jobs_induced,B31,1
gas,construction_earnings_direct,C27,1
gas,construction_earnings_indirect,C30,1
gas,construction_earnings_induced,C31,1
gas,construction_output_direct,D27,1
gas,construction_output_indirect,D30,1
gas,construction_output_induced,D31,1
gas,construction_value_add_direct,E27,1
gas,construction_value_add_indirect,E30,1
gas,construction_value_add_induced,E31,1
gas,operation_jobs_direct,B35,1
gas,operation_jobs_indirect,B36,1
gas,operation_jobs_induced,B37,1
gas,operation_earnings_direct,C35,1
gas,operation_earnings_indirect,C36,1
gas,operation_earnings_induced,C37,1
gas,operation_output_direct,D35,1
gas,operation_output_indirect,D36,1
gas,operation_output_induced,D37,1
gas,operation_value_add_direct,E35,1
gas,operation_value_add_indirect,E36,1
gas,operation_value_add_induced,E37,1
coal,construction_jobs_direct,B27,1
coal,construction_jobs_indirect,B30,1
coal,construction_jobs_induced,B31,1
coal,construction_earnings_direct,C27,1
coal,construction_earnings_indirect,C30,1
coal,construction_earnings_induced,C31,1
coal,construction_output_direct,D27,1
coal,construction_output_indirect,D30,1
coal,construction_output_induced,D31,1
coal,construction_value_add_direct,E27,1
coal,construction_value_add_indirect,E30,1
coal,construction_value_add_induced,E31,1
coal,operation_jobs_direct,B35,1
coal,operation_jobs_indirect,B36,1
coal,operation_jobs_induced,B37,1
coal,operation_earnings_direct,C35,1
coal,operation_earnings_indirect,C36,1
coal,operation_earnings_induced,C37,1
coal,operation_output_direct,D35,1
coal,operation_output_indirect,D36,1
coal,operation_output_induced,D37,1
coal,operation_value_add_direct,E35,1
coal,operation_value_add_indirect,E36,1
coal,operation_value_add_induced,E37,1
